number,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,body_type,mileage,engine,max_power,seats
3317,Maruti Alto LX,2004,100000,100000,Petrol,Individual,Manual,Second Owner,Coupe,19.7,796,55,5
3318,Tata Indica V2 2001-2011 DLS BSIII,2009,90000,120000,Diesel,Individual,Manual,Second Owner,Convertible,17.88,1396,132,5
3319,Mahindra Scorpio Gateway 2WD,2013,459999,120000,Diesel,Individual,Manual,Second Owner,Jeep,13.5,2609,357,5
3320,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2009,525000,217000,Diesel,Individual,Manual,Fourth & Above Owner,MUV/SUV,12.8,2494,296,8
3321,Maruti Wagon R AX BSIV,2011,250000,65000,Petrol,Individual,Manual,Second Owner,Hatchback,18.9,998,86,5
3322,Hyundai i10 Asta,2012,300000,41000,Petrol,Individual,Manual,Second Owner,Jeep,20.36,1197,149,5
3323,Maruti Swift ZXI ABS,2005,130000,120000,Petrol,Individual,Manual,Second Owner,MUV/SUV,16.1,1298,148,5
3324,Maruti Alto K10 LXI,2011,199000,70000,Petrol,Individual,Manual,Third Owner,MUV/SUV,20.92,998,103,5
3325,Renault Duster 85PS Diesel RxL Optional,2012,545000,90000,Diesel,Individual,Manual,Second Owner,MUV/SUV,20.46,1461,184,5
3326,Maruti Ertiga ZDI,2014,570000,80000,Diesel,Individual,Manual,Second Owner,Wagon,20.77,1248,151,7
3327,Honda City 2017-2020 VTEC,2006,150000,120000,Petrol,Individual,Manual,Second Owner,Hatchback,16.9,1497,159,5
3328,Maruti Alto STD,2009,114999,100000,Petrol,Individual,Manual,First Owner,Sedan,19.7,796,60,5
3329,Tata Tigor 1.2 Revotron XT,2018,450000,35000,Petrol,Individual,Manual,First Owner,Convertible,20.3,1199,140,5
3330,Renault Triber RXT BSIV,2019,600000,5000,Petrol,Individual,Manual,First Owner,Van,20,999,114,7
3331,Maruti Vitara Brezza VDi Option,2016,610000,110000,Diesel,Individual,Manual,First Owner,Hatchback,24.3,1248,167,5
3332,Hyundai i20 1.2 Asta Option,2017,690000,20000,Petrol,Individual,Manual,First Owner,Coupe,18.6,1197,123,5
3333,Tata Nexon 1.2 Revotron XZ Plus,2018,790000,15000,Petrol,Individual,Manual,First Owner,Hatchback,17,1198,119,5
3334,Maruti Alto K10 2010-2014 VXI,2014,254999,40000,Petrol,Individual,Manual,Second Owner,Hatchback,20.92,998,116,5
3335,Honda Jazz 1.2 V i VTEC,2016,500000,41000,Petrol,Individual,Manual,First Owner,Hatchback,18.7,1199,143,5
3336,Mahindra Bolero SLX,2011,340000,100000,Diesel,Individual,Manual,Second Owner,Jeep,13.6,2523,378,7
3337,Mahindra Bolero SLX,2007,245000,110000,Diesel,Individual,Manual,Third Owner,Van,13.6,2523,384,7
3338,Ford Fiesta Classic 1.4 Duratorq CLXI,2012,340000,120000,Diesel,Individual,Manual,Third Owner,Sedan,17.8,1399,139,5
3339,Maruti Wagon R LXI,2008,221000,35008,Petrol,Dealer,Manual,First Owner,Van,21.79,998,94,5
3340,Datsun RediGO T,2017,270000,31100,Petrol,Dealer,Manual,First Owner,Sedan,22.7,799,56,5
3341,Hyundai Xcent 1.1 CRDi Base,2014,455000,42312,Diesel,Dealer,Manual,First Owner,Convertible,24.4,1120,124,5
3342,Toyota Etios G Safety,2011,300000,72000,Petrol,Dealer,Manual,First Owner,Wagon,17.6,1496,194,5
3343,Toyota Etios Liva 1.4 GD,2014,480000,54891,Diesel,Dealer,Manual,First Owner,Jeep,23.59,1364,177,5
3344,Hyundai Verna CRDi 1.6 AT SX Plus,2018,1000000,30000,Diesel,Individual,Automatic,First Owner,Van,22,1582,161,5
3345,BMW 3 Series 320d Luxury Line Plus,2017,2600000,44000,Diesel,Dealer,Automatic,First Owner,Convertible,22.69,1995,240,5
3346,Toyota Innova Crysta 2.8 ZX AT BSIV,2017,1850000,18890,Diesel,Dealer,Automatic,First Owner,Jeep,11.36,2755,394,7
3347,Renault Koleos 2.0 Diesel,2013,1000000,75010,Diesel,Dealer,Automatic,First Owner,MUV/SUV,13.73,1995,261,5
3348,Renault Pulse RxZ Optional,2012,245000,100000,Diesel,Dealer,Manual,First Owner,MUV/SUV,23.08,1461,201,5
3349,Hyundai Grand i10 Magna AT,2019,625000,4337,Petrol,Dealer,Automatic,First Owner,Van,18.9,1197,141,5
3350,Volkswagen Polo 2015-2019 1.0 MPI Trendline,2018,560000,14495,Petrol,Dealer,Manual,First Owner,MUV/SUV,18.78,999,91,5
3351,Mahindra XUV500 W9 BSIV,2018,1475000,24000,Diesel,Dealer,Manual,First Owner,Wagon,15.1,2179,298,7
3352,Toyota Corolla Altis Diesel D4DG,2010,425000,83585,Diesel,Dealer,Manual,First Owner,Hatchback,21.43,1364,148,5
3353,Volkswagen Polo GT TSI,2014,550000,31000,Petrol,Dealer,Automatic,Second Owner,Jeep,17.21,1197,133,5
3354,Toyota Innova Crysta 2.4 GX MT BSIV,2016,1475000,100000,Diesel,Dealer,Manual,First Owner,Convertible,13.68,2393,304,7
3355,Renault Duster 85PS Diesel RxL,2017,750000,48406,Diesel,Dealer,Manual,First Owner,Sedan,19.87,1461,170,5
3356,Hyundai i20 Era 1.4 CRDi,2016,570000,56239,Diesel,Dealer,Manual,First Owner,Wagon,22.54,1396,193,5
3357,Maruti Baleno Delta 1.2,2015,585000,33243,Petrol,Dealer,Manual,First Owner,Convertible,21.4,1197,142,5
3358,Honda Jazz 1.2 S AT i VTEC,2016,600000,26000,Petrol,Dealer,Automatic,First Owner,Coupe,19,1199,151,5
3359,Toyota Etios GD,2012,415000,90000,Diesel,Individual,Manual,First Owner,Convertible,19.41878336,1458,179,7
3360,Hyundai i20 Active 1.2 SX with AVN,2016,530000,120000,Petrol,Individual,Manual,Second Owner,Jeep,17.19,1197,104,5
3361,Hyundai i20 Asta Option 1.2,2016,540000,38000,Petrol,Individual,Manual,First Owner,Coupe,18.6,1197,131,5
3362,Hyundai EON Era Plus,2013,180000,60000,Petrol,Individual,Manual,First Owner,Coupe,21.1,814,63,5
3363,Maruti Swift Dzire VXI,2014,450000,30000,Petrol,Individual,Manual,First Owner,Convertible,19.1,1197,110,5
3364,Chevrolet Beat LT,2015,200000,50000,Petrol,Individual,Manual,First Owner,Hatchback,18.6,1199,104,5
3365,Tata Tiago 1.2 Revotron XZ,2017,425000,42000,Petrol,Individual,Manual,First Owner,Coupe,23.84,1199,149,5
3366,Chevrolet Sail 1.2 LS ABS,2016,400000,30000,Petrol,Individual,Manual,First Owner,MUV/SUV,18.2,1199,136,5
3367,Ford Ikon 1.3 Flair,2005,150000,15858,Petrol,Individual,Manual,First Owner,Sedan,13.8,1299,198,5
3368,Maruti Alto 800 LXI,2017,310000,15000,Petrol,Individual,Manual,First Owner,Van,24.7,796,55,5
3369,Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2014,500000,50000,Diesel,Individual,Manual,First Owner,Sedan,13.58,2499,303,9
3370,Chevrolet Beat Diesel,2013,200000,60000,Diesel,Individual,Manual,Second Owner,Sedan,25.44,936,101,5
3371,Renault Lodgy 85PS RxE 7 Seater,2018,900000,35000,Diesel,Individual,Manual,First Owner,Jeep,21.04,1461,170,7
3372,Ambassador CLASSIC 1500 DSL AC,2000,75000,90000,Diesel,Individual,Manual,Second Owner,Hatchback,12.8,1489,191,5
3373,Maruti Swift LXI Optional-O,2015,400000,50000,Petrol,Individual,Manual,First Owner,Van,20.4,1197,106,5
3374,Honda Mobilio RS i DTEC,2015,650000,110000,Diesel,Individual,Manual,First Owner,Wagon,24.5,1498,151,7
3375,Maruti Swift VDI,2015,480000,87847,Diesel,Dealer,Manual,First Owner,Convertible,28.4,1248,193,5
3376,Maruti Alto LXi,2009,140000,35000,Petrol,Individual,Manual,First Owner,Jeep,19.7,796,56,5
3377,Maruti Swift VXI 2018,2018,550000,5000,Petrol,Individual,Manual,First Owner,Van,22,1197,120,5
3378,Maruti Wagon R AMT VXI,2017,380000,29000,Petrol,Individual,Automatic,First Owner,Hatchback,20.51,998,111,5
3379,Tata Indigo CS LS (TDI) BS-III,2016,440000,20000,Diesel,Individual,Manual,First Owner,MUV/SUV,19.09,1405,170,5
3380,Maruti Swift Dzire VXI 1.2,2018,630000,15000,Petrol,Individual,Manual,First Owner,Convertible,21.21,1197,120,5
3381,Renault KWID RXL,2017,250000,40000,Petrol,Individual,Manual,First Owner,Sedan,25.17,799,60,5
3382,Maruti Alto LX,2009,120000,17000,Petrol,Individual,Manual,First Owner,Coupe,19.7,796,55,5
3383,Tata Manza Aura Quadrajet BS IV,2012,287000,120000,Diesel,Individual,Manual,First Owner,Van,21.12,1248,194,5
3384,Maruti Baleno Delta 1.2,2016,550000,45000,Petrol,Individual,Manual,First Owner,Coupe,21.4,1197,151,5
3385,Mahindra Scorpio 1.99 S10 4WD,2016,950000,60000,Diesel,Individual,Manual,Third Owner,Coupe,15.4,1997,246,7
3386,Tata Harrier XZ Dark Edition BSIV,2019,1630000,25000,Diesel,Individual,Manual,First Owner,Coupe,17,1956,266,5
3387,Ford Fiesta 1.5 TDCi Trend,2015,501000,80000,Diesel,Individual,Manual,Second Owner,Van,25.01,1498,152,5
3388,Mahindra Bolero 2011-2019 ZLX BSIII,2014,550000,70000,Diesel,Individual,Manual,First Owner,Jeep,15.96,2523,386,7
3389,Maruti Alto 800 LXI,2016,300000,25000,Petrol,Individual,Manual,First Owner,Jeep,22.74,796,60,5
3390,Maruti Wagon R VXI BS IV,2015,300000,50000,Petrol,Individual,Manual,Third Owner,Coupe,20.51,998,114,5
3391,Toyota Etios Liva GD,2012,280000,100000,Diesel,Individual,Manual,Second Owner,Van,19.41878336,1458,131,7
3392,Ford Figo 1.5P Titanium AT,2015,416000,40000,Petrol,Individual,Automatic,First Owner,Jeep,17.01,1499,154,5
3393,Maruti Omni E MPI STD BS IV,2018,260000,30000,Petrol,Individual,Manual,First Owner,Wagon,16.8,796,56,8
3394,Chevrolet Sail 1.2 LS ABS,2016,550000,15000,Petrol,Individual,Manual,First Owner,Convertible,18.2,1199,105,5
3395,Mahindra XUV500 W8 2WD,2012,700000,100000,Diesel,Individual,Manual,Second Owner,Coupe,15.1,2179,269,7
3396,Tata Indigo CS eGLX BS IV,2011,181000,70000,Petrol,Individual,Manual,First Owner,Jeep,15.64,1193,146,5
3397,Mahindra Scorpio VLS AT 2.2 mHAWK,2009,365000,110000,Diesel,Individual,Automatic,Second Owner,Convertible,11.79,2179,271,8
3398,Hyundai Santro Xing XO eRLX Euro II,2006,150000,9558,Petrol,Individual,Manual,First Owner,Coupe,19.41878336,1458,172,7
3399,Maruti Alto K10 VXI AGS Optional,2017,400000,10000,Petrol,Individual,Automatic,First Owner,Convertible,23.95,998,107,5
3400,Hyundai i10 Sportz,2010,210000,110000,Petrol,Individual,Manual,First Owner,Sedan,20.36,1197,107,5
3401,Hyundai Verna 1.6 SX,2013,500000,87000,Diesel,Individual,Manual,Second Owner,Hatchback,22.32,1582,205,5
3402,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2711000,9000,Diesel,Dealer,Automatic,First Owner,Coupe,13.6,1999,240,5
3403,Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,Convertible,22.37,2487,309,5
3404,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,Van,19.33,1999,226,5
3405,Tata Safari Storme EX,2015,503000,110000,Diesel,Individual,Manual,First Owner,MUV/SUV,14.1,2179,308,7
3406,Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,Coupe,18,1969,295,5
3407,Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,Hatchback,19.16,2494,286,5
3408,Maruti Wagon R LXI,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,Van,21.79,998,141,5
3409,Maruti Baleno Alpha 1.3,2018,740000,38817,Diesel,Dealer,Manual,First Owner,Coupe,27.39,1248,166,5
3410,Honda Jazz VX,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,Wagon,18.2,1199,114,5
3411,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,Hatchback,12.99,2494,325,7
3412,Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,Coupe,22,1197,103,5
3413,Toyota Etios VX,2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,Coupe,16.78,1496,189,5
3414,Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,Sedan,22,1197,104,5
3415,Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,56290,Diesel,Dealer,Manual,First Owner,MUV/SUV,24,1186,151,5
3416,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,Convertible,16.78,1995,238,5
3417,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,Hatchback,16.78,1995,252,5
3418,Honda Amaze V CVT Petrol BSIV,2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,Sedan,19,1199,111,5
3419,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,MUV/SUV,14.3,1598,205,5
3420,Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,Van,16.8,1984,259,5
3421,Maruti Baleno Alpha 1.3,2017,735000,70000,Diesel,Individual,Manual,First Owner,Sedan,27.39,1248,167,5
3422,Tata Zest Revotron 1.2 XT,2017,550000,120000,Petrol,Individual,Manual,First Owner,Hatchback,17.57,1193,104,5
3423,Maruti Ertiga ZDI,2013,509999,148000,Diesel,Individual,Manual,First Owner,Hatchback,20.77,1248,192,7
3424,Hyundai i20 Asta 1.4 CRDi,2013,459999,60000,Diesel,Individual,Manual,Second Owner,Convertible,21.27,1396,153,5
3425,Maruti Alto 800 LXI,2015,310000,18000,Petrol,Individual,Manual,First Owner,MUV/SUV,22.74,796,55,5
3426,Tata Zest Quadrajet 1.3 75PS XMS,2018,775000,80000,Diesel,Individual,Manual,First Owner,MUV/SUV,22.95,1248,188,5
3427,Maruti Alto LXI,2004,105000,96000,Petrol,Individual,Manual,Third Owner,Hatchback,19.7,796,56,5
3428,Honda Amaze S i-Dtech,2015,430000,97000,Diesel,Individual,Manual,Second Owner,Coupe,25.8,1498,141,5
3429,Hyundai i20 Sportz 1.4 CRDi,2013,360000,210000,Diesel,Individual,Manual,Third Owner,Wagon,21.9,1396,175,5
3430,Volkswagen Vento Diesel Breeze,2012,400000,60000,Diesel,Individual,Manual,Third Owner,Jeep,20.5,1598,180,5
3431,Maruti Swift Dzire ZDI,2014,600000,90000,Diesel,Individual,Manual,First Owner,MUV/SUV,23.4,1248,169,5
3432,Honda WR-V i-VTEC VX,2019,580000,35000,Petrol,Individual,Manual,First Owner,MUV/SUV,17.5,1199,131,5
3433,Mahindra Verito 1.5 D2 BSIV,2012,140000,120000,Diesel,Individual,Manual,Second Owner,Jeep,21.03,1461,176,5
3434,Tata Indigo TDI,2008,210000,100000,Diesel,Individual,Manual,First Owner,Van,19.61,1405,191,5
3435,Hyundai Grand i10 Asta Option,2017,550000,20000,Petrol,Individual,Manual,First Owner,Jeep,18.9,1197,115,5
3436,Chevrolet Sail Hatchback Petrol LS ABS,2013,120000,110000,Petrol,Individual,Manual,Second Owner,Jeep,18.2,1199,130,5
3437,Toyota Innova 2.5 GX (Diesel) 7 Seater,2013,400000,35000,Diesel,Individual,Manual,First Owner,Wagon,12.99,2494,340,7
3438,Honda WR-V i-DTEC VX,2018,1035000,15000,Diesel,Individual,Manual,First Owner,Hatchback,25.5,1498,136,5
3439,Maruti Ciaz VDi Plus,2015,625000,90000,Diesel,Individual,Manual,First Owner,MUV/SUV,26.21,1248,189,5
3440,Hyundai i10 Magna,2008,200000,40000,Petrol,Individual,Manual,First Owner,Coupe,20.36,1197,110,5
3441,Tata Manza Club Class Quadrajet90 EX,2013,316000,140000,Diesel,Individual,Manual,First Owner,Jeep,21.02,1248,159,5
3442,Maruti Vitara Brezza ZDi,2017,813000,110000,Diesel,Individual,Manual,First Owner,Jeep,24.3,1248,183,5
3443,Toyota Innova Crysta 2.8 GX AT BSIV,2016,1575000,55000,Diesel,Individual,Automatic,First Owner,Convertible,11.36,2755,381,7
3444,Toyota Innova 2.5 VX (Diesel) 8 Seater,2013,900000,73000,Diesel,Individual,Manual,First Owner,Jeep,12.99,2494,271,8
3445,Maruti Ertiga VDI,2015,650000,100000,Diesel,Individual,Manual,First Owner,Jeep,20.77,1248,148,7
3446,Ford Figo Aspire 1.5 TDCi Trend,2015,459999,32000,Diesel,Individual,Manual,Second Owner,Coupe,25.83,1498,187,5
3447,Nissan Sunny Diesel XV,2012,290000,112072,Diesel,Individual,Manual,First Owner,Wagon,21.64,1461,165,5
3448,Ford Figo Diesel EXI,2014,400000,30000,Diesel,Individual,Manual,First Owner,Jeep,20,1399,131,5
3449,Maruti Swift VDI BSIV,2016,565000,70000,Diesel,Individual,Manual,Second Owner,MUV/SUV,25.2,1248,160,5
3450,Volkswagen Multivan TDI,2011,2150000,50000,Diesel,Individual,Manual,Second Owner,Van,19.41878336,1458,155,7
3451,Chevrolet Spark 1.0 LS,2009,150000,80000,Petrol,Individual,Manual,Second Owner,Jeep,18,995,110,5
3452,BMW 3 Series 320d Sedan,2007,480000,110000,Diesel,Individual,Automatic,Fourth & Above Owner,Van,16.07,1995,293,5
3453,Maruti Zen Estilo 1.1 LX BSIII,2007,70000,80000,Petrol,Individual,Manual,Second Owner,MUV/SUV,18.2,1061,127,5
3454,Maruti Zen Estilo 1.1 LX BSIII,2007,70000,80000,Petrol,Individual,Manual,Second Owner,Hatchback,18.2,1061,116,5
3455,Mercedes-Benz E-Class E 250 Elegance,2011,1190000,80000,Petrol,Individual,Automatic,Second Owner,MUV/SUV,10.93,2497,326,5
3456,Hyundai Santro GLS I - Euro II,2006,140000,100000,Petrol,Individual,Manual,Second Owner,Sedan,19.41878336,1458,198,7
3457,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2018,900000,19000,Diesel,Individual,Manual,First Owner,Wagon,23,1498,160,5
3458,Hyundai i20 Sportz Option 1.4 CRDi,2015,600000,40000,Diesel,Individual,Manual,First Owner,Hatchback,22.54,1396,180,5
3459,Mahindra Scorpio S10 7 Seater,2015,1100000,52269,Diesel,Individual,Manual,First Owner,Hatchback,15.4,2179,302,7
3460,Maruti Omni LPG CARGO BSIII W IMMOBILISER,2010,120000,170000,LPG,Individual,Manual,Second Owner,Jeep,10.9,796,59,5
3461,Maruti Omni E 8 Str STD,2009,120000,140000,Petrol,Individual,Manual,First Owner,Coupe,19.41878336,1458,158,7
3462,Maruti Omni E 8 Str STD,2010,120000,170000,Petrol,Individual,Manual,Second Owner,Jeep,19.41878336,1458,134,7
3463,Hyundai i20 Magna,2009,229999,60000,Petrol,Individual,Manual,Third Owner,Hatchback,18.5,1197,115,5
3464,Honda Amaze i-VTEC Privilege Edition,2017,570000,15780,Petrol,Individual,Manual,First Owner,Van,17.8,1198,122,5
3465,Hyundai Verna 1.6 SX,2014,575000,106000,Diesel,Individual,Manual,First Owner,Jeep,22.32,1582,217,5
3466,Volkswagen Vento Diesel Highline,2012,280000,80000,Diesel,Individual,Manual,Third Owner,Wagon,20.54,1598,185,5
3467,Hyundai i20 Active 1.4 SX Dual Tone,2015,580000,74000,Diesel,Individual,Manual,Second Owner,Jeep,21.19,1396,167,5
3468,Maruti Ertiga VDI,2018,875000,35000,Diesel,Individual,Manual,Second Owner,Hatchback,25.47,1248,184,7
3469,Hyundai Verna 1.6 SX CRDi (O),2013,500000,70000,Diesel,Individual,Manual,Third Owner,Van,22.32,1582,173,5
3470,Maruti Ciaz ZDi,2015,700000,60000,Diesel,Individual,Manual,First Owner,Jeep,26.21,1248,129,5
3471,Ford Figo 1.2P Titanium MT,2016,388000,50000,Petrol,Individual,Manual,Second Owner,Hatchback,18.16,1196,138,5
3472,Hyundai i10 Sportz,2011,225000,80000,Petrol,Individual,Manual,Second Owner,Convertible,20.36,1197,118,5
3473,Tata Indigo CS eGLX BS IV,2011,90000,90000,Petrol,Individual,Manual,Second Owner,Convertible,15.64,1193,104,5
3474,Renault Duster 110PS Diesel RxZ,2014,600000,114000,Diesel,Individual,Manual,First Owner,Wagon,19.01,1461,195,5
3475,Hyundai i20 Magna,2009,235000,100000,Petrol,Individual,Manual,First Owner,Convertible,18.5,1197,151,5
3476,Hyundai i20 1.4 CRDi Asta,2011,350000,100000,Diesel,Individual,Manual,Second Owner,Jeep,23,1396,130,5
3477,Hyundai i10 Sportz,2011,235000,80000,Petrol,Individual,Manual,Second Owner,Hatchback,20.36,1197,142,5
3478,Maruti Alto LXi,2010,190000,35000,Petrol,Individual,Manual,First Owner,Sedan,19.7,796,53,5
3479,Tata Manza Aura (ABS) Quadrajet BS IV,2011,325000,79000,Diesel,Individual,Manual,First Owner,Sedan,21.12,1248,191,5
3480,Hyundai i20 Asta 1.2,2007,550000,2360457,Petrol,Individual,Manual,Second Owner,MUV/SUV,18.6,1197,119,5
3481,Volkswagen Vento Diesel Highline,2011,300000,120000,Diesel,Individual,Manual,Third Owner,MUV/SUV,20.54,1598,218,5
3482,Tata Tigor 1.2 Revotron XT,2017,550000,10000,Petrol,Individual,Manual,First Owner,Jeep,20.3,1199,130,5
3483,Mahindra XUV500 W8 AWD,2013,720000,150000,Diesel,Individual,Manual,Second Owner,Hatchback,15.1,2179,337,7
3484,Nissan Micra XE,2011,110000,110000,Petrol,Individual,Manual,First Owner,Jeep,18.06,1198,136,5
3485,Maruti Alto 800 VXI,2018,310000,10000,Petrol,Individual,Manual,First Owner,Coupe,24.7,796,54,5
3486,Maruti Wagon R LXI LPG BSIV,2010,150000,70000,LPG,Individual,Manual,Second Owner,Jeep,26.2,998,85,5
3487,Tata Indica Vista TDI LX,2012,260000,46000,Diesel,Individual,Manual,First Owner,MUV/SUV,19.4,1405,152,5
3488,Hyundai Accent GLS,2002,55000,120000,Petrol,Individual,Manual,Fourth & Above Owner,Wagon,13.2,1495,187,5
3489,Maruti Swift VDI,2013,450000,108800,Diesel,Individual,Manual,Third Owner,MUV/SUV,22.9,1248,135,5
3490,Hyundai i10 Sportz Option,2009,199000,70000,Petrol,Individual,Manual,Second Owner,Wagon,20.36,1197,140,5
3491,Mahindra Scorpio S3 9 Seater BSIV,2018,1000000,35000,Diesel,Individual,Manual,First Owner,Coupe,15.4,2523,375,7
3492,Ford Figo Diesel EXI,2011,240000,72000,Diesel,Individual,Manual,First Owner,Wagon,20,1399,164,5
3493,Renault KWID RXL,2018,350000,40000,Petrol,Individual,Manual,First Owner,Wagon,25.17,799,53,5
3494,Mahindra Bolero 2011-2019 ZLX BSIII,2014,530000,120000,Diesel,Individual,Manual,Third Owner,Van,15.96,2523,379,7
3495,Chevrolet Spark 1.0 LS,2011,150000,35000,Petrol,Individual,Manual,First Owner,Wagon,18,995,92,5
3496,Hyundai Elite i20 Magna Plus BSIV,2019,625000,12500,Petrol,Individual,Manual,First Owner,Van,18.6,1197,135,5
3497,Hyundai Grand i10 Magna,2014,378000,80000,Petrol,Individual,Manual,First Owner,Van,18.9,1197,119,5
3498,Renault KWID RXT,2015,210000,210000,Petrol,Individual,Manual,Second Owner,Convertible,25.17,799,53,5
3499,Maruti Swift Dzire VDI,2018,700000,100000,Diesel,Individual,Manual,Second Owner,Hatchback,28.4,1248,179,5
3500,Hyundai Santro Xing GL Plus,2011,156000,110000,Petrol,Individual,Manual,Second Owner,Van,17.92,1086,140,5
3501,Mahindra Bolero Power Plus ZLX,2016,700000,103000,Diesel,Individual,Manual,First Owner,Convertible,16.5,1493,149,7
3502,Maruti Wagon R LXI Minor,2010,194000,577414,Petrol,Individual,Manual,Second Owner,MUV/SUV,18.9,1061,128,5
3503,Maruti Alto LX,2006,120000,100000,Petrol,Individual,Manual,Second Owner,Convertible,19.7,796,59,5
3504,Honda Amaze S AT i-Vtech,2015,415000,45000,Petrol,Individual,Automatic,First Owner,Coupe,15.5,1198,117,5
3505,Honda Amaze S AT i-Vtech,2015,450000,45000,Petrol,Individual,Automatic,First Owner,Sedan,15.5,1198,148,5
3506,Honda Brio S MT,2014,325000,40000,Petrol,Individual,Manual,Third Owner,Sedan,19.4,1198,137,5
3507,Mahindra Bolero 2011-2019 Plus AC,2014,525000,200000,Diesel,Individual,Manual,First Owner,Van,15.96,2523,334,9
3508,Hyundai EON Magna Plus,2017,265000,100000,Petrol,Individual,Manual,First Owner,Van,21.1,814,97,5
3509,Maruti Omni 8 Seater BSII,2008,100000,120000,Petrol,Individual,Manual,Second Owner,Van,19.7,796,61,8
3510,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2711000,9000,Diesel,Dealer,Automatic,First Owner,Sedan,13.6,1999,275,5
3511,Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,Van,22.37,2487,312,5
3512,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,Wagon,19.33,1999,232,5
3513,Tata Safari Storme EX,2015,503000,110000,Diesel,Individual,Manual,First Owner,Van,14.1,2179,287,7
3514,Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,Van,18,1969,257,5
3515,Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,Coupe,19.16,2494,290,5
3516,Maruti Wagon R LXI,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,Jeep,21.79,998,85,5
3517,Maruti Baleno Alpha 1.3,2018,740000,38817,Diesel,Dealer,Manual,First Owner,Hatchback,27.39,1248,155,5
3518,Honda Jazz VX,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,Van,18.2,1199,139,5
3519,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,Van,12.99,2494,291,7
3520,Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,Jeep,22,1197,139,5
3521,Toyota Etios VX,2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,Jeep,16.78,1496,199,5
3522,Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,Coupe,22,1197,102,5
3523,Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,56290,Diesel,Dealer,Manual,First Owner,Convertible,24,1186,132,5
3524,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,Convertible,16.78,1995,240,5
3525,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,Hatchback,16.78,1995,274,5
3526,Honda Amaze V CVT Petrol BSIV,2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,Jeep,19,1199,126,5
3527,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,MUV/SUV,14.3,1598,203,5
3528,Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,Jeep,16.8,1984,208,5
3529,Tata Zest Quadrajet 1.3 XM,2015,400000,100000,Diesel,Individual,Manual,First Owner,Sedan,23,1248,188,5
3530,Hyundai i20 Magna Optional 1.4 CRDi,2013,345000,40000,Diesel,Individual,Manual,First Owner,Hatchback,21.9,1396,172,5
3531,Mahindra Thar CRDe,2018,850000,15000,Diesel,Individual,Manual,Second Owner,Convertible,16.55,2498,271,6
